episode,reward,length,compromise_progress
1,12.5,1,0.25
2,12.5,1,0.0
3,12.5,1,0.0
4,12.5,1,0.0
5,12.5,1,0.0
6,12.5,1,0.0
7,12.5,1,0.0
8,12.5,1,0.0
9,12.5,1,0.0
10,12.5,1,0.0
11,12.5,1,0.0
12,12.5,1,0.0
13,12.5,1,0.25
14,12.5,1,0.25
15,12.5,1,0.25
16,12.5,1,0.0
17,12.5,1,0.0
18,12.5,1,0.0
19,12.5,1,0.25
20,15.600000381469727,2,0.3333333333333333
21,12.5,1,0.0
22,12.5,1,0.25
23,12.5,1,0.0
24,12.5,1,0.0
25,12.5,1,0.25
26,12.5,1,0.25
27,12.5,1,0.25
28,12.5,1,0.0
29,12.5,1,0.25
30,12.5,1,0.0
31,15.600000381469727,2,0.3333333333333333
32,12.5,1,0.25
33,12.5,1,0.25
34,12.5,1,0.0
35,12.5,1,0.0
36,15.600000381469727,2,0.3333333333333333
37,12.5,1,0.25
38,12.5,1,0.0
39,12.5,1,0.0
40,12.5,1,0.0
41,15.600000381469727,2,0.3333333333333333
42,12.5,1,0.0
43,12.5,1,0.25
44,12.5,1,0.0
45,12.5,1,0.0
46,12.5,1,0.25
47,12.5,1,0.0
48,12.5,1,0.25
49,15.600000381469727,2,0.3333333333333333
50,12.5,1,0.0
51,12.5,1,0.0
52,12.5,1,0.0
53,12.5,1,0.25
54,12.5,1,0.0
55,12.5,1,0.0
56,12.5,1,0.0
57,12.5,1,0.0
58,12.5,1,0.0
59,12.5,1,0.25
60,12.5,1,0.0
61,12.5,1,0.25
62,12.5,1,0.0
63,15.600000381469727,2,0.3333333333333333
64,12.5,1,0.0
65,12.5,1,0.25
66,12.5,1,0.0
67,12.5,1,0.25
68,15.600000381469727,2,0.3333333333333333
69,12.5,1,0.0
70,12.5,1,0.25
71,15.600000381469727,2,0.3333333333333333
72,12.5,1,0.25
73,12.5,1,0.0
74,12.5,1,0.25
75,12.5,1,0.0
76,12.5,1,0.0
77,12.5,1,0.0
78,12.5,1,0.25
79,12.5,1,0.25
80,12.5,1,0.0
81,12.5,1,0.25
82,12.5,1,0.0
83,12.5,1,0.25
84,12.5,1,0.0
85,12.5,1,0.0
86,12.5,1,0.0
87,15.600000381469727,2,0.3333333333333333
88,12.5,1,0.0
89,12.5,1,0.0
90,12.5,1,0.0
91,12.5,1,0.25
92,15.600000381469727,2,0.3333333333333333
93,12.5,1,0.0
94,12.5,1,0.0
95,12.5,1,0.0
96,12.5,1,0.25
97,12.5,1,0.0
98,12.5,1,0.0
99,12.5,1,0.0
100,12.5,1,0.25
