episode,reward,length,compromise_progress
1,16.5,1,0.0
2,16.5,1,0.0
3,16.5,1,0.0
4,16.5,1,0.0
5,16.5,1,0.0
6,16.5,1,0.0
7,16.5,1,0.0
8,16.5,1,0.0
9,16.5,1,0.0
10,16.5,1,0.0
11,16.5,1,0.0
12,16.5,1,0.0
13,16.5,1,0.0
14,16.5,1,0.0
15,16.5,1,0.0
16,16.5,1,0.0
17,16.5,1,0.0
18,16.5,1,0.0
19,16.5,1,0.0
20,16.5,1,0.0
21,16.5,1,0.0
22,16.5,1,0.0
23,16.5,1,0.0
24,16.5,1,0.0
25,16.5,1,0.0
26,16.5,1,0.0
27,16.5,1,0.0
28,16.5,1,0.0
29,16.5,1,0.0
30,16.5,1,0.0
31,16.5,1,0.0
32,16.5,1,0.0
33,16.5,1,0.0
34,16.5,1,0.0
35,16.5,1,0.0
36,16.5,1,0.0
37,16.5,1,0.0
38,16.5,1,0.0
39,16.5,1,0.0
40,16.5,1,0.0
41,16.5,1,0.0
42,16.5,1,0.0
43,16.5,1,0.0
44,16.5,1,0.0
45,16.5,1,0.0
46,16.5,1,0.0
47,16.5,1,0.0
48,16.5,1,0.0
49,16.5,1,0.0
50,16.5,1,0.0
51,16.5,1,0.0
52,16.5,1,0.0
53,16.5,1,0.0
54,16.5,1,0.0
55,16.5,1,0.0
56,16.5,1,0.0
57,16.5,1,0.0
58,16.5,1,0.0
59,16.5,1,0.0
60,16.5,1,0.0
61,16.5,1,0.0
62,16.5,1,0.0
63,16.5,1,0.0
64,16.5,1,0.0
65,16.5,1,0.0
66,16.5,1,0.0
67,16.5,1,0.0
68,16.5,1,0.0
69,16.5,1,0.0
70,16.5,1,0.0
71,16.5,1,0.0
72,16.5,1,0.0
73,16.5,1,0.0
74,16.5,1,0.0
75,16.5,1,0.0
76,16.5,1,0.0
77,16.5,1,0.0
78,16.5,1,0.0
79,16.5,1,0.0
80,16.5,1,0.0
81,16.5,1,0.0
82,16.5,1,0.0
83,16.5,1,0.0
84,16.5,1,0.0
85,16.5,1,0.0
86,16.5,1,0.0
87,16.5,1,0.0
88,16.5,1,0.0
89,16.5,1,0.0
90,16.5,1,0.0
91,16.5,1,0.0
92,16.5,1,0.0
93,16.5,1,0.0
94,16.5,1,0.0
95,16.5,1,0.0
96,16.5,1,0.0
97,16.5,1,0.0
98,16.5,1,0.0
99,16.5,1,0.0
100,16.5,1,0.0
