episode,reward,length,compromise_progress
1,-10.800000190734863,1,0.0
2,27.200000762939453,1,0.0
3,-10.800000190734863,1,0.0
4,-10.800000190734863,1,0.0
5,-10.800000190734863,1,0.0
6,28.200000762939453,1,0.0
7,28.200000762939453,1,0.0
8,-12.0,1,0.0
9,-10.800000190734863,1,0.0
10,-10.800000190734863,1,0.0
11,-12.0,1,0.0
12,-10.800000190734863,1,0.0
13,-10.800000190734863,1,0.0
14,27.200000762939453,1,0.0
15,28.200000762939453,1,0.0
16,28.200000762939453,1,0.0
17,-10.800000190734863,1,0.0
18,27.200000762939453,1,0.0
19,27.200000762939453,1,0.0
20,-10.800000190734863,1,0.0
21,-10.800000190734863,1,0.0
22,-10.800000190734863,1,0.0
23,-10.800000190734863,1,0.0
24,27.200000762939453,1,0.0
25,-10.800000190734863,1,0.0
26,-10.800000190734863,1,0.0
27,28.200000762939453,1,0.0
28,27.200000762939453,1,0.0
29,27.200000762939453,1,0.0
30,-10.800000190734863,1,0.0
31,27.200000762939453,1,0.0
32,28.200000762939453,1,0.0
33,28.200000762939453,1,0.0
34,-10.800000190734863,1,0.0
35,-10.800000190734863,1,0.0
36,27.200000762939453,1,0.0
37,28.200000762939453,1,0.0
38,28.200000762939453,1,0.0
39,-10.800000190734863,1,0.0
40,28.200000762939453,1,0.0
41,-10.800000190734863,1,0.0
42,27.200000762939453,1,0.0
43,-10.800000190734863,1,0.0
44,-10.800000190734863,1,0.0
45,28.200000762939453,1,0.0
46,27.200000762939453,1,0.0
47,-10.800000190734863,1,0.0
48,-10.800000190734863,1,0.0
49,27.200000762939453,1,0.0
50,28.200000762939453,1,0.0
51,-10.800000190734863,1,0.0
52,28.200000762939453,1,0.0
53,-10.800000190734863,1,0.0
54,-10.800000190734863,1,0.0
55,-12.0,1,0.0
56,-10.800000190734863,1,0.0
57,-10.800000190734863,1,0.0
58,27.200000762939453,1,0.0
59,27.200000762939453,1,0.0
60,27.200000762939453,1,0.0
61,28.200000762939453,1,0.0
62,-10.800000190734863,1,0.0
63,28.200000762939453,1,0.0
64,-10.800000190734863,1,0.0
65,28.200000762939453,1,0.0
66,-10.800000190734863,1,0.0
67,-10.800000190734863,1,0.0
68,27.200000762939453,1,0.0
69,-10.800000190734863,1,0.0
70,28.200000762939453,1,0.0
71,-10.800000190734863,1,0.0
72,-10.800000190734863,1,0.0
73,28.200000762939453,1,0.0
74,27.200000762939453,1,0.0
75,-10.800000190734863,1,0.0
76,28.200000762939453,1,0.0
77,27.200000762939453,1,0.0
78,-10.800000190734863,1,0.0
79,27.200000762939453,1,0.0
80,27.200000762939453,1,0.0
81,-10.800000190734863,1,0.0
82,27.200000762939453,1,0.0
83,-10.800000190734863,1,0.0
84,-10.800000190734863,1,0.0
85,-10.800000190734863,1,0.0
86,28.200000762939453,1,0.0
87,27.200000762939453,1,0.0
88,27.200000762939453,1,0.0
89,-12.0,1,0.0
90,28.200000762939453,1,0.0
91,-10.800000190734863,1,0.0
92,28.200000762939453,1,0.0
93,27.200000762939453,1,0.0
94,28.200000762939453,1,0.0
95,28.200000762939453,1,0.0
96,-10.800000190734863,1,0.0
97,-10.800000190734863,1,0.0
98,27.200000762939453,1,0.0
99,27.200000762939453,1,0.0
100,28.200000762939453,1,0.0
