episode,reward,length,compromise_progress
1,27.200000762939453,1,0.6666666666666666
2,-10.800000190734863,1,0.0
3,-10.800000190734863,1,0.0
4,-10.800000190734863,1,0.0
5,-10.800000190734863,1,0.0
6,28.200000762939453,1,0.6666666666666666
7,-12.0,1,0.0
8,-10.800000190734863,1,0.0
9,-10.800000190734863,1,0.0
10,-12.0,1,0.0
11,-10.800000190734863,1,0.0
12,-10.800000190734863,1,0.0
13,-12.0,1,0.0
14,28.200000762939453,1,0.6666666666666666
15,-10.800000190734863,1,0.0
16,-10.800000190734863,1,0.0
17,-10.800000190734863,1,0.0
18,-10.800000190734863,1,0.0
19,-10.800000190734863,1,0.0
20,-10.800000190734863,1,0.0
21,-10.800000190734863,1,0.0
22,-10.800000190734863,1,0.0
23,-10.800000190734863,1,0.0
24,-10.800000190734863,1,0.0
25,-10.800000190734863,1,0.0
26,28.200000762939453,1,0.6666666666666666
27,-12.0,1,0.0
28,27.200000762939453,1,0.6666666666666666
29,-10.800000190734863,1,0.0
30,27.200000762939453,1,0.6666666666666666
31,-10.800000190734863,1,0.0
32,-10.800000190734863,1,0.0
33,-10.800000190734863,1,0.0
34,-10.800000190734863,1,0.0
35,27.200000762939453,1,0.6666666666666666
36,-10.800000190734863,1,0.0
37,28.200000762939453,1,0.6666666666666666
38,-10.800000190734863,1,0.0
39,28.200000762939453,1,0.6666666666666666
40,-10.800000190734863,1,0.0
41,27.200000762939453,1,0.6666666666666666
42,-10.800000190734863,1,0.0
43,-10.800000190734863,1,0.0
44,-10.800000190734863,1,0.0
45,-10.800000190734863,1,0.0
46,-10.800000190734863,1,0.0
47,-10.800000190734863,1,0.0
48,-10.800000190734863,1,0.0
49,28.200000762939453,1,0.6666666666666666
50,-10.800000190734863,1,0.0
51,-10.800000190734863,1,0.0
52,-10.800000190734863,1,0.0
53,-10.800000190734863,1,0.0
54,-12.0,1,0.0
55,-10.800000190734863,1,0.0
56,-10.800000190734863,1,0.0
57,27.200000762939453,1,0.6666666666666666
58,-10.800000190734863,1,0.0
59,-10.800000190734863,1,0.0
60,-10.800000190734863,1,0.0
61,-10.800000190734863,1,0.0
62,28.200000762939453,1,0.6666666666666666
63,-10.800000190734863,1,0.0
64,-10.800000190734863,1,0.0
65,-10.800000190734863,1,0.0
66,-10.800000190734863,1,0.0
67,-10.800000190734863,1,0.0
68,-10.800000190734863,1,0.0
69,-10.800000190734863,1,0.0
70,-10.800000190734863,1,0.0
71,-10.800000190734863,1,0.0
72,-10.800000190734863,1,0.0
73,-10.800000190734863,1,0.0
74,-10.800000190734863,1,0.0
75,28.200000762939453,1,0.6666666666666666
76,27.200000762939453,1,0.6666666666666666
77,-10.800000190734863,1,0.0
78,27.200000762939453,1,0.6666666666666666
79,27.200000762939453,1,0.6666666666666666
80,-10.800000190734863,1,0.0
81,-10.800000190734863,1,0.0
82,-10.800000190734863,1,0.0
83,-10.800000190734863,1,0.0
84,-10.800000190734863,1,0.0
85,-10.800000190734863,1,0.0
86,27.200000762939453,1,0.6666666666666666
87,27.200000762939453,1,0.6666666666666666
88,-12.0,1,0.0
89,28.200000762939453,1,0.6666666666666666
90,-10.800000190734863,1,0.0
91,-10.800000190734863,1,0.0
92,-12.0,1,0.0
93,-10.800000190734863,1,0.0
94,-10.800000190734863,1,0.0
95,-10.800000190734863,1,0.0
96,-10.800000190734863,1,0.0
97,27.200000762939453,1,0.6666666666666666
98,-10.800000190734863,1,0.0
99,28.200000762939453,1,0.6666666666666666
100,28.200000762939453,1,0.6666666666666666
