episode,reward,length,compromise_progress
1,16.5,1,0.0
2,16.5,1,0.0
3,16.5,1,0.0
4,16.5,1,0.0
5,12.5,15,0.375
6,-2.5,13,0.5
7,16.5,1,0.0
8,16.5,1,0.0
9,12.5,15,0.375
10,16.5,1,0.0
11,16.5,1,0.0
12,-2.5,13,0.5
13,12.5,15,0.375
14,16.5,1,0.0
15,-2.5,13,0.5
16,16.5,1,0.0
17,16.5,1,0.0
18,16.5,1,0.0
19,-2.5,13,0.5
20,16.5,1,0.0
21,12.5,15,0.375
22,16.5,1,0.0
23,16.5,1,0.0
24,-2.5,13,0.5
25,16.5,1,0.0
26,12.5,15,0.375
27,12.5,15,0.375
28,12.5,15,0.375
29,-2.5,13,0.5
30,-2.5,13,0.5
31,16.5,1,0.0
32,16.5,1,0.0
33,12.5,15,0.375
34,12.5,15,0.375
35,-2.5,13,0.5
36,16.5,1,0.0
37,12.5,15,0.375
38,12.5,15,0.375
39,-2.5,13,0.5
40,16.5,1,0.0
41,-2.5,13,0.5
42,-2.5,13,0.5
43,16.5,1,0.0
44,16.5,1,0.0
45,12.5,15,0.375
46,12.5,15,0.375
47,16.5,1,0.0
48,16.5,1,0.0
49,16.5,1,0.0
50,16.5,1,0.0
51,12.5,15,0.375
52,-2.5,13,0.5
53,-2.5,13,0.5
54,-2.5,13,0.5
55,16.5,1,0.0
56,16.5,1,0.0
57,16.5,1,0.0
58,-2.5,13,0.5
59,12.5,15,0.375
60,16.5,1,0.0
61,16.5,1,0.0
62,-2.5,13,0.5
63,-2.5,13,0.5
64,12.5,15,0.375
65,16.5,1,0.0
66,12.5,15,0.375
67,12.5,15,0.375
68,16.5,1,0.0
69,12.5,15,0.375
70,-2.5,13,0.5
71,12.5,15,0.375
72,16.5,1,0.0
73,12.5,15,0.375
74,16.5,1,0.0
75,12.5,15,0.375
76,-2.5,13,0.5
77,12.5,15,0.375
78,16.5,1,0.0
79,12.5,15,0.375
80,12.5,15,0.375
81,16.5,1,0.0
82,12.5,15,0.375
83,16.5,1,0.0
84,16.5,1,0.0
85,12.5,15,0.375
86,16.5,1,0.0
87,12.5,15,0.375
88,16.5,1,0.0
89,-2.5,13,0.5
90,16.5,1,0.0
91,16.5,1,0.0
92,12.5,15,0.375
93,12.5,15,0.375
94,-2.5,13,0.5
95,-2.5,13,0.5
96,-2.5,13,0.5
97,12.5,15,0.375
98,16.5,1,0.0
99,16.5,1,0.0
100,-2.5,13,0.5
