episode,reward,length,compromise_progress
1,30.26300048828125,13,0.5
2,42.93799591064453,13,0.5
3,-10.800000190734863,1,0.0
4,30.213001251220703,13,0.5
5,41.8380012512207,13,0.5
6,-10.800000190734863,1,0.0
7,-10.800000190734863,1,0.0
8,-10.800000190734863,1,0.0
9,29.26300048828125,13,0.5
10,-10.800000190734863,1,0.0
11,15.236001968383789,12,0.5
12,-10.800000190734863,1,0.0
13,-12.0,1,0.0
14,-0.6869993209838867,3,0.5
15,41.987998962402344,13,0.5
16,49.93800354003906,13,0.5
17,-10.800000190734863,1,0.0
18,28.062999725341797,13,0.5
19,-10.800000190734863,1,0.0
20,37.163002014160156,13,0.5
21,-10.800000190734863,1,0.0
22,40.16299819946289,13,0.5
23,-10.800000190734863,1,0.0
24,28.312999725341797,13,0.5
25,36.08799743652344,13,0.5
26,40.03799819946289,13,0.5
27,23.413000106811523,13,0.5
28,-12.0,1,0.0
29,-10.800000190734863,1,0.0
30,35.9379997253418,13,0.5
31,-10.800000190734863,1,0.0
32,39.987998962402344,13,0.5
33,41.788002014160156,13,0.5
34,-10.800000190734863,1,0.0
35,0.12100028991699219,2,0.5
36,-12.0,1,0.0
37,52.362998962402344,13,0.5
38,-10.800000190734863,1,0.0
39,25.913000106811523,13,0.5
40,-10.800000190734863,1,0.0
41,-12.0,1,0.0
42,-12.0,1,0.0
43,-10.800000190734863,1,0.0
44,-10.800000190734863,1,0.0
45,-10.800000190734863,1,0.0
46,-10.800000190734863,1,0.0
47,35.13800048828125,13,0.5
48,-1.309000015258789,7,0.5
49,38.08799743652344,13,0.5
50,38.93799591064453,13,0.5
51,45.88800048828125,13,0.5
52,-10.800000190734863,1,0.0
53,-10.800000190734863,1,0.0
54,-10.800000190734863,1,0.0
55,-10.800000190734863,1,0.0
56,29.26300048828125,13,0.5
57,1.4630002975463867,13,0.5
58,42.9379997253418,13,0.5
59,-10.800000190734863,1,0.0
60,-10.800000190734863,1,0.0
61,-10.800000190734863,1,0.0
62,40.737998962402344,13,0.5
63,-3.918999671936035,9,0.5
64,-10.800000190734863,1,0.0
65,30.26300048828125,13,0.5
66,-10.800000190734863,1,0.0
67,43.1879997253418,13,0.5
68,-10.800000190734863,1,0.0
69,23.112998962402344,13,0.5
70,34.8380012512207,13,0.5
71,-10.800000190734863,1,0.0
72,-10.800000190734863,1,0.0
73,-10.800000190734863,1,0.0
74,37.83799743652344,13,0.5
75,32.413002014160156,13,0.5
76,-10.800000190734863,1,0.0
77,-10.800000190734863,1,0.0
78,-10.800000190734863,1,0.0
79,-10.800000190734863,1,0.0
80,25.612998962402344,13,0.5
81,27.062999725341797,13,0.5
82,29.01300048828125,13,0.5
83,34.88800048828125,13,0.5
84,-10.800000190734863,1,0.0
85,-10.800000190734863,1,0.0
86,-10.800000190734863,1,0.0
87,23.463001251220703,13,0.5
88,-10.800000190734863,1,0.0
89,45.81300354003906,13,0.5
90,-10.800000190734863,1,0.0
91,24.413002014160156,13,0.5
92,32.01300048828125,13,0.5
93,-10.800000190734863,1,0.0
94,30.21299934387207,13,0.5
95,-10.800000190734863,1,0.0
96,28.312999725341797,13,0.5
97,31.16299819946289,13,0.5
98,33.362998962402344,13,0.5
99,-10.800000190734863,1,0.0
100,-12.0,1,0.0
